iter	Logloss
0	0.6161712771
1	0.5672290862
2	0.5241102575
3	0.4998009253
4	0.4805734867
5	0.4665584801
6	0.4535195251
7	0.4413708329
8	0.4316903118
9	0.4259847331
10	0.4202633098
11	0.4163995825
12	0.4117206087
13	0.4063737058
14	0.4016758186
15	0.3971154651
16	0.3955781687
17	0.3919760807
18	0.3890170053
19	0.3862423411
20	0.3843886356
21	0.3823783081
22	0.3803291143
23	0.3784710165
24	0.3756352934
25	0.3734998125
26	0.3712183138
27	0.3697669116
28	0.3686904397
29	0.3672637175
30	0.3646399577
31	0.3635189805
32	0.3613962866
33	0.3600202629
34	0.3577344648
35	0.3562880001
36	0.3554193077
37	0.3525308231
38	0.3519449867
39	0.3479483377
40	0.3462473643
41	0.3450466464
42	0.3432759353
43	0.3425107608
44	0.3395636836
45	0.3386527193
46	0.3380814497
47	0.3377375476
48	0.3374150983
49	0.3363038381
