iter	Passed	Remaining
0	61	2999
1	63	1515
2	64	1013
3	66	766
4	68	619
5	70	520
6	72	448
7	74	393
8	76	349
9	78	314
10	81	287
11	82	262
12	85	241
13	86	223
14	88	207
15	90	192
16	92	178
17	93	166
18	95	156
19	97	146
20	99	136
21	101	128
22	102	120
23	104	113
24	106	106
25	108	100
26	110	94
27	115	91
28	120	87
29	125	83
30	130	79
31	134	75
32	137	70
33	142	66
34	147	63
35	151	58
36	155	54
37	159	50
38	161	45
39	164	41
40	167	36
41	169	32
42	171	27
43	174	23
44	179	19
45	183	15
46	188	12
47	192	8
48	196	4
49	200	0
